v,j,l
-1,222,193
-1,16595,99
1,18487,193
1,9925,115
1,31748,212
1,9247,55
1,11161,178
1,2385,101
1,10259,104
-1,13845,208
-1,15717,116
1,17170,118
-1,15922,244
1,8731,152
-1,25125,173
-1,14957,170
1,18034,131
-1,17549,68
-1,13628,162
1,11450,130
-1,23111,25
1,29179,167
1,788,244
1,25596,245
-1,1604,87
-1,13332,8
1,7446,213
1,7330,199
1,27298,119
1,2323,33
1,20173,95
-1,6979,219
-1,15053,1
-1,13995,79
-1,19425,13
1,13922,208
-1,11600,171
-1,30014,36
-1,18000,243
1,27937,68
1,13428,210
-1,13012,238
-1,28132,35
-1,16755,187
-1,10897,136
-1,14814,160
-1,21364,14
1,26470,164
1,19138,237
-1,16355,242
1,23173,35
1,15076,192
1,20744,100
1,12884,14
-1,9797,136
1,26819,123
1,10663,125
-1,17223,40
-1,22802,42
-1,8580,115
1,1894,238
1,21861,29
1,1321,81
-1,19892,136
1,21571,0
1,11611,82
-1,11144,46
-1,23684,157
1,31119,43
-1,11344,158
-1,4122,191
1,22759,183
-1,29731,77
1,18591,112
-1,22244,248
-1,8245,82
-1,30556,82
-1,17977,148
1,31558,241
1,18724,145
1,12965,112
-1,32620,182
1,31498,21
1,5174,22
-1,6300,58
1,21771,112
1,27837,145
1,17472,193
-1,28813,51
-1,17211,152
1,24646,11
-1,17602,238
-1,13550,206
1,14037,202
1,25818,119
-1,14416,52
1,30095,125
1,25788,159
1,25487,161
1,23046,154
1,30617,18
-1,2582,73
-1,32130,144
1,7508,74
1,5683,196
-1,26878,191
-1,4532,186
-1,19235,198
1,21533,27
-1,13910,6
1,2926,130
-1,12176,182
-1,7999,168
1,14976,238
1,15783,253
1,12735,102
-1,21361,27
-1,1225,175
1,14620,175
-1,9387,226
-1,2507,54
1,21292,215
-1,11649,139
-1,28181,234
1,3981,169
-1,31594,235
-1,8536,236
1,28555,221
-1,4737,216
-1,17760,178
-1,28663,131
1,20170,94
1,6489,0
1,8357,127
-1,19713,106
1,18219,74
1,7742,99
1,6881,115
-1,15695,1
-1,13134,171
1,12459,7
1,12598,190
1,20910,225
-1,560,24
1,3595,50
1,1107,48
-1,18718,174
-1,4586,244
-1,10338,151
1,22778,109
1,2533,127
1,13806,137
-1,23315,99
-1,13688,223
-1,32374,2
1,12778,64
-1,7341,203
-1,18454,225
-1,9750,160
-1,8754,195
1,12552,13
-1,27399,182
1,7102,229
1,11789,82
-1,16250,223
-1,20096,161
-1,27445,52
-1,22878,241
1,10151,15
1,32721,228
-1,19007,115
1,15513,16
1,9352,149
1,2907,98
1,3210,94
-1,22119,221
-1,29129,69
1,7175,224
1,27527,241
1,1721,63
-1,6163,32
1,15157,66
-1,6240,110
1,5763,228
-1,13535,129
-1,11301,227
-1,10623,77
-1,9738,186
1,22704,148
-1,19595,140
-1,2594,119
-1,9561,61
1,4291,220
1,24248,156
-1,4894,138
1,10272,130
-1,21515,209
-1,6232,223
1,21472,172
-1,8029,28
-1,1182,59
-1,2348,195
-1,7069,86
1,17813,102
-1,14665,110
-1,1039,1
-1,12335,253
1,5835,63
-1,11256,47
1,31671,201
-1,18864,155
1,23219,203
1,29245,202
-1,26890,7
1,16510,111
1,4454,32
-1,14905,36
1,7039,169
-1,14994,6
1,23331,64
-1,26610,137
-1,22201,16
-1,1271,1
1,31575,209
-1,25932,98
-1,4220,188
1,28829,58
1,19201,131
1,31896,88
1,10767,43
-1,14369,20
1,3718,96
1,9583,243
1,18573,77
-1,18732,229
1,4841,255
1,29443,49
1,28750,126
-1,32481,183
1,32201,63
-1,88,48
-1,31837,51
-1,16178,194
-1,17876,90
-1,21065,111
1,16930,121
-1,30815,87
-1,20749,247
1,7140,198
1,27232,76
-1,16004,164
1,30533,145
1,24798,192
-1,23586,215
1,2491,109
-1,28379,160
1,13991,231
1,21251,169
-1,28525,5
1,22816,235
1,26187,78
1,9882,33
1,6918,36
-1,28710,155
1,25001,130
-1,21375,228
1,24748,201
1,25363,158
-1,6033,24
1,69,209
1,920,226
1,24658,27
1,7239,156
-1,4661,25
-1,7971,114
1,20044,174
1,5417,245
1,6943,178
-1,6299,4
-1,24387,149
-1,21571,153
-1,19203,199
-1,29372,125
1,16357,51
1,5994,11
1,32535,179
1,3471,1
-1,2042,216
1,4792,94
-1,24766,143
-1,7633,18
-1,10514,169
-1,2540,14
-1,32178,1
-1,24354,200
1,16851,211
1,22256,17
1,23055,103
-1,10252,241
-1,3457,162
1,9272,45
-1,16403,212
1,31215,158
-1,11707,98
1,23986,249
-1,25331,152
1,4881,169
-1,571,11
-1,18749,185
1,26240,15
1,25199,254
1,21063,120
-1,26398,11
-1,25009,165
-1,19421,76
1,26515,134
1,10537,57
-1,18496,184
-1,5614,84
1,27701,99
-1,31670,117
1,23056,165
1,22597,162
1,8435,53
-1,23270,14
-1,5815,6
1,2553,47
1,7359,74
1,7507,143
-1,5353,151
-1,22415,214
-1,20431,238
-1,20940,71
1,26751,166
1,30998,167
1,19439,210
1,471,59
-1,28804,159
1,32182,7
1,7724,118
-1,26507,20
-1,24077,26
-1,8967,64
1,31923,124
1,27001,15
-1,9080,203
-1,27273,109
1,13058,108
-1,11322,61
-1,9463,101
1,8320,130
-1,23030,252
1,10609,38
1,7243,111
-1,28189,232
-1,32746,173
-1,10900,19
-1,14235,53
1,2847,40
-1,16596,177
1,12170,26
1,18238,38
-1,320,135
1,16840,70
1,17843,21
-1,3044,182
-1,19949,180
-1,10061,34
-1,31057,226
-1,22144,73
-1,10524,144
1,29740,93
-1,1637,228
1,9426,163
1,2939,116
1,17288,253
1,6111,197
1,11035,203
1,27698,177
-1,25150,176
-1,30374,79
1,4807,193
1,17998,112
-1,3869,83
-1,18814,137
-1,17660,17
1,4202,66
-1,1206,124
1,7547,64
-1,27026,237
1,27405,176
1,2373,69
1,13279,154
1,28097,111
-1,10285,67
-1,25319,120
-1,9734,30
-1,29448,69
1,27265,31
1,21130,1
-1,11296,246
1,28154,89
1,27989,109
1,28970,114
-1,27493,227
1,29776,161
1,395,92
1,20166,221
-1,32576,139
-1,8571,123
-1,12340,25
1,4196,34
-1,4532,135
1,16943,76
-1,11352,58
-1,14170,241
1,10736,184
-1,17391,53
-1,30027,152
-1,28491,145
-1,9729,253
1,23942,45
-1,11908,199
1,14257,27
-1,14487,109
1,23330,248
-1,28731,180
-1,16129,216
1,18804,117
1,29074,122
-1,32415,179
-1,15154,84
1,9919,115
-1,13556,231
1,8936,83
1,25981,233
1,26658,113
-1,22536,179
1,6567,127
-1,20206,216
1,32575,9
-1,17554,105
-1,27145,32
-1,2733,210
-1,22610,82
1,3747,146
-1,29425,214
-1,21924,215
1,4612,166
1,5962,242
1,26033,162
1,32465,250
-1,2063,220
-1,11344,180
-1,1503,170
1,2152,164
-1,14856,1
1,11162,141
-1,10400,74
1,8240,190
1,13711,233
1,31485,95
1,10661,149
-1,13918,243
-1,20870,147
1,4885,195
1,10215,99
-1,16688,203
-1,23032,15
-1,20398,5
1,20255,16
1,1332,205
-1,32260,87
-1,13511,71
-1,32119,20
1,23556,232
1,2292,184
1,24748,140
-1,81,205
-1,11222,78
1,30447,144
1,2822,229
-1,4364,223
-1,16128,127
1,31982,223
1,3594,208
1,20640,32
1,253,218
-1,112,1
1,26872,53
-1,15081,144
1,23118,240
1,6908,142
1,21506,14
1,25344,1
-1,21907,197
-1,9691,136
1,29714,5
1,30058,214
1,2176,220
-1,15307,178
-1,8049,112
1,28520,77
-1,30014,154
-1,24101,178
-1,1422,150
-1,12118,33
1,19616,91
1,15431,92
1,16493,112
1,22357,218
1,17872,165
1,5140,29
1,26179,117
-1,19289,203
-1,21402,43
1,26858,219
-1,31811,199
-1,12196,187
1,6789,195
1,7943,204
-1,6148,196
-1,20822,126
1,11110,88
-1,83,170
-1,6731,101
1,28530,177
1,3535,247
1,19399,218
1,30554,113
-1,16527,97
-1,8083,200
1,26882,4
1,28192,254
1,21115,200
-1,15180,158
1,28051,34
1,10853,91
-1,1447,231
-1,4613,232
-1,25399,26
1,28913,230
-1,13889,240
1,10969,219
-1,2914,4
-1,6455,212
-1,24645,230
-1,2318,19
1,31784,119
1,13260,236
1,9666,2
-1,13728,164
1,313,162
1,9498,201
1,14301,40
-1,22310,154
1,25436,120
-1,19248,28
1,30081,152
-1,2944,119
1,19262,80
-1,2560,106
1,25964,187
1,12955,14
-1,22824,184
1,14652,154
1,11149,72
1,27500,34
-1,6793,43
1,20723,167
-1,3930,13
-1,14009,90
-1,11344,111
1,2886,243
1,6797,6
1,16747,60
-1,32021,144
-1,32324,219
-1,28201,191
1,24877,243
-1,24657,112
1,32069,226
-1,21868,176
1,9008,111
-1,9222,30
1,5708,22
-1,28079,140
1,5647,4
-1,21915,61
1,15322,208
-1,31060,32
1,20809,66
1,774,116
-1,5529,36
1,4582,230
-1,27660,165
1,4988,150
1,15355,109
-1,23551,185
1,23681,116
-1,7759,244
1,18796,161
-1,12040,200
1,30810,95
-1,28085,244
1,26631,35
1,771,214
1,23619,175
-1,31196,94
1,10268,221
-1,17047,26
1,23693,125
-1,28310,113
-1,7192,87
1,28097,223
1,14892,171
-1,11215,171
-1,20611,97
-1,23151,140
-1,2989,178
1,24684,56
-1,9622,6
-1,4369,89
-1,4793,13
1,31126,111
-1,27372,61
-1,13604,218
-1,9038,16
1,19852,29
-1,26784,90
-1,27322,204
1,21877,165
-1,21459,165
1,4280,195
-1,8742,47
-1,27524,232
-1,23115,146
1,8904,100
1,22973,254
1,22505,182
1,15401,28
1,31101,228
-1,19678,135
1,20252,21
-1,13938,129
1,25213,22
1,17941,33
1,8732,53
1,16407,0
1,16053,221
1,10192,174
1,31392,188
-1,24997,200
-1,14497,171
-1,3332,116
-1,32149,163
1,3210,28
1,14964,224
1,13942,68
-1,9882,86
-1,15930,149
1,28146,147
1,7533,240
1,21771,116
1,21213,89
-1,27780,112
-1,11646,166
1,17197,195
-1,8029,165
-1,30972,115
1,24820,124
1,9119,197
-1,2897,54
1,9548,121
-1,58,80
1,10293,48
1,21760,145
1,13060,92
1,12633,123
-1,5598,12
-1,14580,117
1,5465,63
1,18286,105
1,21515,145
-1,11654,114
1,8895,168
1,20218,179
-1,16195,29
-1,7063,252
-1,14736,61
1,7982,77
-1,11380,94
1,20392,164
-1,11891,18
1,10080,126
1,5090,53
-1,14059,108
-1,26799,63
1,5913,227
1,30424,122
-1,15488,179
1,30860,159
1,26324,41
-1,10820,13
-1,1709,251
-1,15874,98
1,726,118
1,30916,0
-1,28961,109
-1,26565,114
-1,16874,171
-1,1732,187
1,30626,251
1,9101,30
-1,8254,159
-1,7094,98
1,5246,68
-1,27588,47
-1,5392,58
1,31562,54
-1,6220,226
1,15192,204
-1,26331,207
-1,27029,86
-1,13682,173
-1,26651,39
1,22945,190
-1,13787,58
1,8133,135
1,26573,16
-1,7520,185
1,30859,88
-1,1381,145
1,17488,155
1,2188,252
-1,10948,171
-1,23005,93
-1,31600,65
-1,12098,203
-1,21387,147
-1,1674,247
1,9929,205
-1,4662,140
-1,8328,62
1,23668,37
1,15873,129
-1,3066,231
1,23878,7
1,1756,88
-1,8898,35
1,610,91
1,28617,45
-1,31206,112
1,16217,55
-1,13021,51
1,30351,15
-1,28501,218
1,13068,221
-1,24251,164
1,11134,93
1,27931,135
1,15614,204
-1,10631,50
-1,26272,133
1,13951,26
1,18688,231
1,21837,153
-1,27985,152
-1,28619,6
-1,24320,7
-1,8583,124
-1,22229,227
1,2294,86
-1,5565,250
-1,19887,118
1,23288,115
-1,31478,128
-1,11208,23
1,27473,33
1,6926,96
-1,18945,200
-1,32189,140
1,21572,120
-1,15461,47
1,16011,111
1,20713,202
1,3159,197
-1,5215,62
1,22493,59
1,17919,129
1,13172,24
-1,2002,249
-1,6856,36
1,17156,94
1,1292,147
-1,9383,15
1,135,36
1,9429,174
1,13598,61
-1,13546,88
1,6276,117
-1,32543,53
1,10475,53
-1,3140,253
-1,3313,199
-1,11613,41
-1,6319,99
-1,21502,180
-1,8223,200
1,10880,235
1,1346,208
1,21280,230
-1,24503,43
1,13256,7
1,16727,253
1,5750,128
1,19023,77
-1,15026,56
-1,54,79
1,12851,205
-1,27284,207
1,13312,48
-1,10037,87
-1,21354,62
1,19351,29
1,2297,140
-1,5019,166
-1,17431,57
1,3101,152
-1,18302,237
1,11989,77
1,5684,37
1,1107,146
1,21358,67
-1,32117,235
-1,2299,40
1,9063,109
-1,21096,78
-1,12460,16
-1,8095,238
1,4142,181
-1,31768,234
-1,28323,174
-1,22639,84
1,8867,74
1,7813,174
-1,5105,42
1,18886,109
1,31429,161
-1,10166,94
1,20317,38
1,28217,16
-1,5684,220
1,966,144
-1,20169,90
-1,10481,205
-1,23087,27
1,6454,162
-1,12604,253
1,5290,85
-1,29671,164
-1,12011,10
-1,32322,179
1,31382,125
-1,3326,29
1,27876,184
1,29823,3
-1,18826,233
-1,13770,113
1,26513,128
-1,16517,126
1,2749,40
-1,21682,221
1,20169,195
1,30328,194
-1,879,29
1,23041,8
-1,4929,178
1,12545,81
-1,27077,172
1,9736,134
-1,11202,67
-1,11586,97
1,11027,24
1,23542,2
-1,3327,94
1,4453,252
-1,9634,238
1,28488,157
-1,29852,211
1,11429,246
1,7085,42
1,5762,44
-1,6724,8
1,17796,203
1,19787,207
-1,25528,12
1,8007,129
1,25551,180
-1,5547,212
-1,13618,63
1,159,6
-1,31922,139
1,19060,97
1,25261,164
1,21656,129
-1,1173,109
1,27540,172
1,3182,58
-1,12513,164
-1,18425,61
1,5762,202
1,10266,235
-1,19137,65
1,17910,219
-1,23655,151
1,13057,40
-1,15206,65
1,32652,223
-1,29232,149
-1,2830,110
1,29895,133
1,30222,236
-1,27974,250
1,582,210
1,13916,204
-1,13537,197
1,32399,87
-1,26431,134
-1,10997,94
1,8709,191
1,22127,99
-1,25865,108
-1,18566,196
1,32477,59
1,32378,250
1,24240,224
-1,22497,65
1,2202,218
1,4174,129
-1,21847,206
1,14705,186
1,2783,139
-1,8657,63
-1,9752,138
1,11446,167
1,3394,235
-1,7834,18
1,26382,114
1,22440,165
1,8732,123
1,12724,115
-1,10140,159
-1,14824,41
-1,20508,107
-1,22389,227
1,17856,247
1,14462,55
-1,12569,127
-1,24898,96
-1,27034,175
-1,3664,165
-1,26900,206
-1,22484,151
1,22520,107
-1,6180,125
1,19868,41
1,7237,114
-1,9774,53
-1,27116,109
-1,24083,70
-1,29648,15
-1,2227,99
1,2454,161
-1,1925,26
1,24479,231
1,24490,201
-1,13297,215
-1,11772,166
-1,3833,139
-1,21656,246
1,25874,17
-1,7007,166
1,17397,123
-1,31967,105
-1,19028,185
-1,23050,151
-1,2474,94
1,24151,243
1,32287,54
-1,25531,164
1,27136,47
-1,6416,254
-1,22910,171
1,17417,131
-1,24215,92
-1,18002,46
1,15267,56
1,3352,206
-1,12771,167
-1,31687,20
1,23145,79
1,21636,158
1,8105,55
1,1506,112
1,28531,102
-1,23286,9
1,9156,242
-1,3744,253
-1,8475,133
-1,16722,87
-1,23777,191
-1,6392,8
-1,25448,230
-1,11697,204
-1,23499,235
1,9869,45
1,19740,59
-1,17215,24
1,4853,28
1,31519,37
1,28601,105
1,27821,80
-1,4093,47
-1,27784,162
1,18728,249
1,31008,136
-1,11627,90
1,23040,15
-1,27199,155
-1,1348,7
1,15013,134
1,31452,6
1,23253,208
1,13848,14
-1,11957,88
1,7960,41
-1,22747,21
-1,30713,213
1,29253,23
1,5232,19
1,25582,197
1,10762,174
1,31563,94
-1,29570,212
-1,5754,3
-1,2811,74
1,24361,164
-1,2096,115
-1,16307,106
1,9168,139
1,27872,187
-1,16361,75
-1,6891,18
-1,18790,151
1,5063,160
1,6834,222
1,9965,40
-1,6642,40
-1,1274,63
-1,19823,67
1,18708,232
-1,1268,145
-1,2055,154
-1,31144,14
1,21041,30
-1,2678,24
-1,2648,154
1,195,112
-1,7460,241
1,26155,118
-1,20150,82
1,28276,251
-1,11357,87
1,3957,200
1,14033,172
-1,27421,186
-1,4620,218
1,9546,3
-1,28807,184
1,1344,26
-1,27082,52
1,22681,233
1,15740,106
1,6374,63
-1,7783,240
1,30410,169
1,6285,72
-1,8828,44
-1,5449,191
1,32121,58
1,10751,244
1,6097,129
1,16360,31
1,30690,235
-1,7078,140
-1,26902,162
1,3085,141
-1,10703,180
1,22310,35
-1,15261,25
-1,18708,124
-1,24953,16
1,7805,172
-1,19844,199
-1,29953,61
1,4418,133
1,9616,14
1,5903,127
-1,3804,206
1,12555,6
-1,20079,231
-1,20532,119
1,1554,49
1,13711,173
-1,11748,163
1,28181,167
1,23466,18
-1,4179,44
-1,32611,16
-1,24676,171
-1,22216,14
1,5941,245
1,9288,111
1,7565,218
1,5553,245
-1,12968,156
-1,9099,63
1,562,151
-1,26321,43
1,7889,224
1,23736,185
-1,1015,160
1,5135,55
-1,19178,196
1,22082,38
-1,426,172
1,13524,199
1,31493,28
1,16933,138
-1,23922,158
-1,18122,226
-1,19138,214
1,9571,253
1,18446,221
-1,5595,239
1,10635,202
1,8041,209
-1,7280,59
1,15186,219
-1,16299,230
-1,21053,96
-1,27157,230
1,4582,135
1,29504,25
-1,13326,79
1,4243,185
1,20692,159
1,9426,114
1,26284,130
1,9600,187
-1,21438,173
1,3791,195
1,27321,176
1,11906,251
1,15115,85
1,8424,250
1,15326,211
1,2656,158
1,18767,197
-1,10857,201
1,8444,57
1,7253,168
-1,9396,63
-1,20374,186
1,27778,53
1,20997,137
1,3137,126
-1,3846,134
1,31738,224
1,1171,195
-1,16906,1
1,18833,78
1,4967,247
1,9389,235
-1,29081,205
-1,13965,22
-1,10188,186
-1,5005,54
-1,10882,58
1,24683,231
-1,3215,156
-1,19840,41
-1,23216,16
-1,18287,7
-1,11938,22
-1,7166,15
-1,23230,212
-1,22366,67
-1,26966,15
1,32759,152
-1,21278,141
-1,10341,1
1,4459,128
1,17826,151
1,21584,57
1,9007,107
-1,28956,251
1,22577,190
-1,26709,49
1,18334,212
-1,21320,147
-1,8529,162
1,5349,0
-1,25709,65
-1,8341,228
1,2332,60
1,23380,36
-1,13641,66
-1,19759,172
-1,11517,236
1,16631,245
1,16015,29
1,7175,212
1,9302,45
-1,23577,180
-1,29400,142
1,23503,255
-1,19152,43
-1,4420,141
-1,28034,64
-1,24687,63
-1,19065,218
-1,32063,93
1,10956,77
1,10664,52
-1,22143,204
1,3106,94
1,29066,199
-1,8788,84
1,15673,232
-1,1088,23
-1,7216,23
1,1289,7
1,20351,9
1,21738,89
1,8718,198
1,16033,76
1,12050,32
-1,23342,30
1,30216,110
1,32105,68
1,24785,122
1,13567,78
-1,27460,117
1,3411,180
-1,22692,140
-1,8033,74
1,22771,160
-1,6395,196
1,25946,229
-1,9533,56
-1,2615,28
-1,30334,21
-1,32561,213
1,25240,226
-1,22339,91
-1,2079,173
-1,21360,232
-1,16873,39
1,21013,205
1,32025,6
1,15808,180
1,11100,121
-1,24841,70
1,10911,1
-1,7321,135
1,32468,248
1,2453,193
-1,8402,213
1,13890,173
-1,31117,67
1,3161,201
1,12287,211
1,31233,211
1,147,106
1,19819,122
1,7764,113
-1,17966,9
1,9057,163
-1,10705,101
1,23701,200
1,30062,18
-1,12746,175
-1,29155,21
-1,23720,158
1,19939,140
-1,22165,105
1,13714,49
1,18139,117
-1,13912,250
-1,18226,220
1,31464,26
1,13849,85
1,23342,92
1,14064,134
-1,13938,131
1,3725,76
1,25897,66
-1,6813,42
-1,4608,74
-1,25806,234
1,7626,15
1,11694,224
1,30039,52
-1,20520,151
1,26129,222
1,26369,73
1,17242,191
1,21313,106
-1,21327,204
1,2225,72
-1,15586,15
-1,383,16
1,28180,229
1,30721,99
1,32421,123
1,28344,75
-1,24787,69
1,4300,168
-1,2882,156
-1,30317,186
-1,13125,120
-1,8932,216
-1,2733,107
-1,11288,170
1,5385,56
1,30581,177
-1,9317,138
1,17345,129
-1,19059,127
1,17942,185
1,14998,10
-1,875,141
-1,13133,126
1,11608,122
-1,12182,161
1,30112,181
-1,20238,123
1,21366,253
1,28456,6
-1,11314,109
1,21435,3
-1,16727,112
1,13431,66
-1,24409,175
-1,9256,219
1,31136,89
1,799,149
-1,28144,76
1,580,82
1,29148,95
1,27357,205
1,5065,42
-1,14955,209
1,31996,85
1,22573,18
-1,10658,9
1,24262,89
-1,19462,106
1,7248,83
1,20172,156
1,4567,70
-1,12439,15
1,31968,41
1,22145,88
-1,6679,99
1,23642,241
1,15921,60
-1,13518,66
-1,29976,127
1,31551,181
1,252,247
-1,15394,146
1,8797,58
1,7034,210
-1,32296,85
-1,1207,136
-1,8816,211
-1,20861,228
1,10159,67
1,29768,196
1,7261,225
-1,29984,126
-1,392,213
-1,18255,180
1,31011,121
-1,2675,82
1,5620,143
-1,22877,53
-1,10039,196
-1,11771,119
1,31911,92
1,28952,199
-1,21287,121
1,27984,107
1,12805,63
-1,31526,145
-1,19413,72
-1,5379,17
1,30988,3
1,7740,108
-1,6686,172
-1,29656,114
1,18522,215
-1,15958,50
-1,24406,151
-1,22540,109
-1,28918,193
1,31171,228
-1,5809,137
1,7958,124
-1,29924,14
1,23100,81
-1,11471,172
1,31200,65
1,1171,171
1,14516,233
1,21185,126
-1,14762,32
-1,24216,205
-1,23979,48
-1,19957,113
-1,17915,241
1,19001,151
-1,8402,95
-1,1055,5
-1,7961,60
1,23710,131
-1,5355,190
-1,10528,101
-1,30639,23
1,20259,76
1,20368,67
-1,31787,34
-1,23204,102
1,9898,175
1,6253,129
1,26214,206
1,24413,189
1,27653,232
-1,22382,149
-1,2794,231
-1,23297,138
-1,1406,219
1,8266,108
1,32108,120
-1,29930,175
-1,22181,24
-1,3150,231
1,11043,237
1,1970,120
-1,21172,100
-1,28972,144
1,30622,228
-1,20669,79
-1,27863,126
-1,1706,67
1,2073,124
-1,177,249
1,9227,117
1,5581,111
1,19594,3
1,29626,145
-1,4591,226
1,14585,212
1,18576,121
1,1603,171
-1,28434,90
-1,25236,91
1,8362,76
1,14064,227
-1,17956,185
-1,15231,141
-1,27599,100
1,2792,226
1,32011,186
1,10938,235
-1,23807,83
-1,7517,101
1,12627,30
-1,9936,82
1,6314,222
-1,21387,242
-1,30398,254
-1,9524,206
1,7673,235
-1,31348,49
-1,1638,20
1,24197,170
1,1538,136
-1,22244,73
1,32680,232
1,8687,246
1,3064,205
-1,22722,97
1,14055,222
-1,8267,155
-1,7229,125
1,23904,220
1,1012,154
1,28525,123
1,15871,18
-1,11132,240
-1,20134,114
1,1443,30
-1,6241,166
1,15789,46
-1,5119,14
-1,27044,61
-1,24999,255
-1,3547,109
1,23484,129
-1,16019,180
1,29839,49
1,27867,168
-1,14091,43
-1,25831,146
-1,21135,135
1,10733,124
1,409,24
1,16160,64
1,17938,123
-1,31910,129
1,14519,66
1,22448,144
1,31368,219
-1,2398,26
-1,15857,228
-1,25609,20
-1,15995,144
1,16878,164
1,24947,47
-1,24163,214
-1,21126,99
-1,18308,44
-1,8520,96
1,30544,98
-1,22053,146
-1,25147,57
-1,4417,227
-1,13678,30
1,28504,72
-1,13307,121
1,29475,49
1,14601,50
-1,31052,137
-1,16684,9
1,17252,22
-1,2342,210
1,20481,156
-1,9702,219
-1,4305,255
1,24494,19
-1,16684,18
1,22202,154
-1,15322,176
1,27303,104
1,4583,2
1,21426,111
-1,21415,58
1,8335,36
1,28343,138
1,17512,21
1,19044,185
-1,5599,209
1,3840,74
-1,1134,78
1,20187,63
-1,29214,128
1,4586,223
1,10397,241
1,32173,16
1,25657,77
1,29660,249
1,30419,70
-1,20119,2
1,8870,73
1,11919,11
1,28656,42
-1,20929,30
1,1170,236
1,20784,82
-1,13605,195
1,2985,118
-1,25627,145
1,27480,47
-1,12024,222
1,13006,126
-1,17222,83
1,25770,206
-1,26386,48
-1,32519,83
1,2470,222
-1,7972,30
1,4426,22
-1,8092,194
-1,20932,2
-1,21156,123
1,12849,141
1,5044,147
-1,4260,214
1,31089,97
-1,31873,64
-1,5346,184
-1,23222,122
1,7879,90
1,26421,231
1,23614,22
1,4774,164
-1,14274,8
-1,13684,119
-1,5391,47
1,18524,118
-1,25985,142
1,9413,235
-1,11547,167
1,18038,247
-1,20615,84
1,20240,61
1,20751,44
1,2351,96
-1,28729,85
1,11017,21
1,26043,31
1,11694,117
1,16246,48
-1,22116,153
1,15252,228
-1,6203,200
-1,32280,127
1,23298,49
1,3079,204
-1,28690,30
-1,16402,183
-1,788,163
1,12611,4
1,20412,194
1,27878,122
1,9952,94
1,25288,222
1,5831,2
1,9563,81
1,25615,49
1,12889,164
-1,13411,175
1,29616,33
-1,13828,107
-1,32692,9
1,22205,75
1,13143,146
-1,4251,20
1,24890,152
-1,9364,57
1,8456,24
1,15491,119
1,5055,122
-1,10707,83
1,7951,53
1,2853,163
1,15961,221
1,6818,238
1,6085,245
1,22944,113
-1,11000,159
-1,1580,152
1,28475,77
1,31746,123
-1,16772,185
-1,17892,8
-1,13454,217
-1,20014,206
1,27296,210
-1,6300,71
-1,295,217
1,7764,50
-1,22116,128
1,26505,211
1,21975,198
-1,19180,159
1,6895,88
-1,10601,191
-1,23374,60
-1,27107,203
1,30728,70
1,32035,18
-1,27876,107
1,11111,243
-1,6561,12
-1,27524,41
-1,11284,100
1,14885,153
-1,3657,118
-1,12858,91
1,14621,209
-1,18346,230
-1,14443,236
-1,27690,248
1,30990,92
-1,27535,37
-1,8975,203
1,29591,30
1,10908,50
-1,18265,101
1,14850,70
-1,2939,86
1,1982,73
-1,13312,148
-1,32463,96
-1,14175,240
1,8857,145
-1,20966,86
1,24862,91
1,26901,115
1,11166,214
-1,2795,46
-1,1748,128
-1,3182,163
-1,7430,217
1,435,115
1,32694,22
-1,15184,161
-1,17698,94
1,21502,28
1,31705,1
1,14557,6
1,5610,159
-1,2577,219
-1,5265,83
1,4184,63
-1,5981,229
1,20360,103
-1,12422,209
-1,27486,120
-1,32284,1
-1,17677,18
1,11400,88
-1,24886,14
1,16640,85
-1,9625,62
1,12083,220
-1,31170,101
-1,1692,70
-1,21226,162
-1,31444,192
1,22645,220
1,9785,162
1,16215,86
-1,11133,69
1,12388,104
1,22641,23
-1,4785,108
1,11914,229
-1,7201,159
-1,27476,4
-1,4891,35
-1,27415,137
1,27873,139
-1,10093,245
1,9511,237
-1,24650,251
1,26675,162
1,9646,205
-1,26505,42
-1,2042,12
1,10145,156
-1,1826,173
-1,12810,205
1,7833,76
1,15091,133
-1,22089,110
1,21295,205
1,1749,243
1,15530,205
1,23754,0
1,27259,42
1,11475,78
-1,32303,65
-1,29251,6
1,24372,39
1,19461,169
1,21695,55
-1,32088,159
-1,15052,91
-1,30217,37
1,175,230
1,19791,110
-1,31966,118
1,25663,146
1,106,245
1,12049,103
-1,6012,82
1,2590,112
-1,6417,116
-1,27998,127
1,26650,231
-1,23123,166
1,23723,245
1,30578,209
1,9018,98
-1,12954,137
-1,21473,213
1,14453,11
1,5752,0
-1,1861,2
-1,31254,189
-1,4270,160
1,3431,99
1,14184,129
1,19158,156
-1,15724,81
-1,22104,109
1,13355,141
1,23150,19
-1,17702,141
1,14329,74
-1,20198,224
1,29322,41
1,19846,237
-1,276,178
-1,8495,125
1,30792,211
1,6775,99
1,32406,112
1,16170,156
1,13667,177
1,29231,210
-1,23516,242
1,23911,237
-1,17890,81
-1,1718,242
1,16789,216
-1,13671,9
1,957,43
1,27724,212
1,24399,207
-1,23689,3
-1,27813,23
-1,16495,39
1,8693,155
-1,16612,95
1,19672,169
1,6048,244
-1,4353,44
-1,22236,99
1,7222,221
-1,22373,215
-1,27762,7
-1,26989,213
1,27797,86
-1,1861,161
1,27842,55
1,27125,65
1,15850,145
-1,18055,121
1,4231,67
-1,7391,10
-1,25352,98
-1,31044,254
1,26499,174
-1,5759,77
1,135,82
1,15378,195
1,13198,38
